Postal Code,Score,Amenity Score,Shop Score,Tourism Score,Accessibility Score
6225AZ,29.13915254763567,22.819558814702383,20.548916028004786,31.042343741782567,51.87184557885035
6222NS,29.133818954265127,22.15123111032395,20.9529197957415,32.35744451004563,51.918613822696194
6218BA,29.109341887724014,20.69203775307816,21.526328317790334,32.16642909478356,53.95155595334503
6215KM,29.10372729101052,23.188722152877517,20.181542320171477,33.46522978998538,50.29824740316559
6229VE,29.064162349433623,26.553371043256025,18.645991274157165,35.89685462181095,44.461137751378814
6215BA,29.06268481073187,23.52642732362881,19.802801366605088,34.158861761567195,49.641512101032205
6228JN,29.062350049162912,26.56577474329434,18.564435446793592,34.33064560703207,45.33282155236841
6228CP,29.03763040347467,26.53117297704336,18.521834980306352,33.70797519135614,45.65522390814295
6218BB,29.03229146862302,20.629911627379208,21.451745215813766,32.09960227107895,53.84071021510461
6215AH,29.02768439485252,23.707611874052947,19.72428709025731,35.848629707209334,48.37923877824416
6218RB,28.986387391466735,20.76306130268632,21.17337075016686,32.284087060378354,53.67310880795204
6218GA,28.920092790525583,20.629464757102728,22.077107190306776,32.533946809190454,52.13248112806309
6215BP,28.879982068840896,23.386598423826005,19.652227074056103,34.127719582141,49.26062712602885
6218VC,28.878242881719558,20.521349494645122,21.25112331803806,32.0172081084547,53.63945025625235
6223AE,28.857719436046445,22.21570651868132,22.66070573556647,34.16326340720327,46.96201384153766
6215JC,28.85402784736536,22.731252410299916,20.429097196905587,33.04940996927268,49.817036780389614
6218HD,28.828772944014172,20.657580290270086,22.225637947319363,32.71403316658539,51.312578727215985
6215GH,28.80761747145252,22.991306025647898,19.850517028542814,33.24196943549952,49.83939918976694
6218RA,28.804845413332426,20.89871483016784,21.01800931221785,32.170928883928426,52.79517820691784
6223AP,28.78955506330102,22.363620992868317,22.5134411247342,34.0677491464838,46.59832192785161
6222NJ,28.788696482984193,22.314102743140648,21.427346501783603,32.89846938843968,48.90690156193961
6215GK,28.77579166194849,23.10561463575732,19.662201636440987,33.4206821598466,49.64677957471859
6225BS,28.722662543580103,22.42416692280244,20.283770144023627,30.819454352219324,51.115645866796335
6228CA,28.710899502432166,26.162497742917505,18.303730563637693,32.65530516089521,45.63304586999741
6223AD,28.69445518856782,22.09806819830503,22.510288132676752,33.99741565282022,46.6998303143386
6218VS,28.679940295599327,20.288418188032555,21.289177973683472,31.71241229708395,53.221639459738995
6225BE,28.66795206457973,22.375115843216747,20.185955401513393,30.58826721266267,51.20596649930618
6213JB,28.65806519092496,23.968332244736395,19.55417858749715,38.39712780878038,45.013958646433814
6225GZ,28.60318696807636,22.3913800080896,20.06766319814014,30.233635782186962,51.20845688130584
6213HL,28.53326609051418,23.382375837967686,19.27508447924282,36.05919657785006,47.15736429633983
6215AJ,28.50825646559369,23.219446077602324,19.345608751917762,35.08262609411399,47.74225398281291
6228CM,28.490536112131732,26.00682081130085,18.152954779119714,33.02739557504546,44.89661807778273
6215KH,28.49043706017446,22.593297266853728,19.86072864864097,32.807196426535555,49.27161493238957
6218ES,28.476586266096408,20.237699293182708,21.667006783802773,32.054126471518344,51.5815494169554
6225AN,28.46395421625342,22.33007166683356,19.930898033637252,30.000478935253607,50.96542907811181
6215GJ,28.461490223148964,22.754988250729966,19.509691631350556,32.97170455171847,49.24962835097907
6218RC,28.432207881747587,20.353159857975534,20.718580452588846,31.752097223909498,52.705193158091944
6228JS,28.432066196745495,25.965685491705162,18.14972742501085,33.9731794871609,44.222180823336075
6215GG,28.427456449132833,22.689975175492005,19.532957095551687,32.89368718941359,49.2157454846953
6218GV,28.418777876891852,20.250804902400667,21.765428661217502,32.16967599960695,51.064539502503
6215RG,28.40129676153408,22.995196889529705,19.296412051198875,33.74461472084593,48.40550950797005
6213HK,28.36273168451518,23.203177177851035,19.1559737552688,35.7138841752912,47.02518180121965
6213JC,28.3561876870629,23.417696606768985,19.233397008554938,36.798841082928945,45.905222901894355
6222NH,28.346870037361892,21.86878065804368,20.988894230240238,32.357637460298136,48.54441097634138
6218BE,28.334299664595832,20.03625222539162,21.309254599799697,31.648280859832568,52.02154759284801
6228CC,28.322155957374367,25.81614413682705,18.043674223527752,32.4352826727359,44.90668181533566
6223AH,28.296574988005027,21.821434479033133,22.136602805244117,33.58504007602224,46.05554025002731
6225BP,28.26806067967717,21.997450015130994,19.977630478979563,30.51316223875048,50.337135836439224
6223AN,28.26539182062605,21.858235691936784,22.079172380470858,33.53731460009663,45.93799970374782
6218VN,28.242128290459796,19.91930493834958,20.883337013594225,31.28794568091571,52.61945025464283
6228CN,28.223807954753287,25.75267305865785,17.975015624226934,32.726976279576874,44.50523612242935
6215RV,28.161953881556986,22.847957632773117,19.122666862749185,34.04328468743722,47.62967187774457
6215GC,28.14981178438634,22.62982070816633,19.153369895717038,32.89542958755979,48.53387506342032
6222AN,28.1376174578495,21.265756233162772,19.892100321172045,30.96478959914953,51.059026857086955
6228JP,28.13433142983415,25.680173790347958,17.942639773998405,33.627848105478655,43.80663069600129
6225KJ,28.124067494505965,22.269039306577483,19.654390301871324,29.49625648920114,50.07639821165345
6223AJ,28.119921933147644,21.64933699652948,21.987667583867545,33.40124566558433,45.84292632249377
6225AL,28.03550010453646,21.943144038312294,19.610135225274597,29.584326570571662,50.31329275620667
6228GR,28.03067229713933,25.58579813849766,17.894881608264512,33.86057569925792,43.43890627530057
6215GB,28.026890864072637,22.476578139453178,19.08038102970557,32.68701424145811,48.447209517363376
6225BB,28.00572639468566,21.76007645543255,19.713122097335123,30.065500863715663,50.137372246489086
6215BM,27.963811825655704,22.610578294301884,18.97234108369121,33.1217977323702,47.81246588182336
6215RP,27.95690993995543,22.639960318399652,18.970144977977572,33.51750798138227,47.52506732078021
6215BK,27.946079978723454,22.59570378207071,18.95917433978944,33.1048327577546,47.78290811158869
6215BL,27.946079978723454,22.59570378207071,18.95917433978944,33.1048327577546,47.78290811158869
6215BN,27.946079978723454,22.59570378207071,18.95917433978944,33.1048327577546,47.78290811158869
6215KA,27.944508905929887,22.160960320878782,19.38175774505312,32.29996751047498,48.413196405257395
6215SC,27.93839408902794,22.6673068216613,18.95103995904779,33.95622266537564,47.18826459579815
6225KC,27.93351337488675,21.957533557477227,19.5069329138134,29.38242896570602,50.03677320769675
6215JH,27.931845071287018,21.97504456264986,19.66927014321332,32.172841977157994,48.354802689548315
6213JS,27.92387686973972,23.305539833285085,18.995367287247205,37.59779943483929,43.95284991933472
6225GX,27.904868293903004,21.762973291471184,19.52744596607373,29.52324431744214,50.18330013156024
6213JA,27.899995323150392,23.06204911690618,18.91102399490331,36.5522130822361,44.97123994880999
6225BR,27.891807057032658,21.655134762212747,19.64911057627145,30.027134298198142,49.90005396921452
6218HM,27.883989784741036,19.872944015259534,21.469951800252794,31.829014545610757,49.793640833885334
6218HC,27.881515790739446,19.84908933825686,21.42655977915567,31.77517174074719,49.921145894541475
6215JG,27.880416732096716,21.87992161046224,19.701035506388653,32.09335938140085,48.28324805567432
6218RD,27.865282917199487,19.93069306883701,20.259301230725338,31.20462172560957,51.7139620665556
6225BW,27.854911839859472,21.611850550838263,19.673163358423256,30.148991132421138,49.70746879576813
6213KB,27.826907191934385,23.153187696671278,18.907479277625775,37.19766383672638,44.11072963864883
6225KD,27.771849356527184,21.846185485090526,19.387777716344196,29.20902145797689,49.72679553780956
6215GA,27.721064839608992,22.246583491173734,18.836222007838128,32.43255957534356,47.89084868977226
6215JB,27.70635340533831,21.85290918315658,19.386682256414975,31.996044219552658,47.9981365251897
6215EK,27.693290149709878,22.031767590426046,19.039060139091006,32.133386959793455,48.02869023503052
6218SK,27.67223636236717,19.52427467096476,20.215701210042578,30.883821552125635,51.79955786522631
6216GC,27.6715713408531,20.777343960733454,20.084684368793354,31.32651579881905,49.26531431540477
6225BV,27.64780334428807,21.41828081097431,19.52355606547259,29.974707541797887,49.38369825929971
6215RH,27.64095227730257,22.360352335416593,18.735134976151908,33.09695667955964,47.087239612772755
6215RS,27.601451107126884,22.365684831947505,18.703104143390295,33.50807897537482,46.72404852639522
6225KE,27.60055353230166,21.727651258866654,19.263200782946146,29.02772832683226,49.39571484879579
6218VT,27.59160638765785,19.348093501084467,20.370481580947065,30.651204624618657,51.6380003430895
6223AR,27.580362990095775,21.275578520881574,21.46668944744694,32.80468918181725,45.00646930270225
6225KB,27.553658894268015,21.60361328972569,19.228882645809637,29.028963294880697,49.4631389018797
6213JZ,27.526851981778474,22.837286652548247,18.66821500056405,36.65639061327565,43.89073838582002
6215AG,27.504553285770296,22.345504351099752,18.56776848422232,34.173306234760844,46.156429723970156
6215KG,27.50383971183096,21.742203078356333,19.12640954429983,31.839404604331737,47.688498689896804
6213HM,27.498171322029176,22.449584107435175,18.509121819408858,34.91078300046329,45.63599505340815
6225CP,27.497049799903237,21.287292360100164,19.27738373735311,29.428636581124216,49.54372209879372
6213KA,27.48656670551829,22.870898485126126,18.656064733752885,36.93413051056524,43.5039879666875
6218HA,27.485499533013144,19.454369669044674,20.969816243973494,31.23092082884008,49.712754708053225
6213JX,27.464670024052317,22.7541631354134,18.612959046766182,36.461048537047326,43.93055763872557
6213HV,27.456738539061057,22.47282102718074,18.49374642498083,35.164554560608735,45.28115125601993
6215RM,27.45628950981214,22.22162597121867,18.599512103861592,33.14181158355301,46.63404754989286
6225CC,27.452169361278603,21.229086071797955,19.396584990579598,29.85400534579164,49.04708059867096
